wals_code,iso_code,glottocode,Name,latitude,longitude,genus,family,1A Consonant Inventories,2A Vowel Quality Inventories,3A Consonant-Vowel Ratio,4A Voicing in Plosives and Fricatives,5A Voicing and Gaps in Plosive Systems,6A Uvular Consonants,7A Glottalized Consonants,8A Lateral Consonants,9A The Velar Nasal,10A Vowel Nasalization,11A Front Rounded Vowels,12A Syllable Structure,13A Tone,14A Fixed Stress Locations,15A Weight-Sensitive Stress,16A Weight Factors in Weight-Sensitive Stress Systems,17A Rhythm Types,18A Absence of Common Consonants,19A Presence of Uncommon Consonants,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,32A Systems of Gender Assignment,33A Coding of Nominal Plurality,34A Occurrence of Nominal Plurality,35A Plurality in Independent Personal Pronouns,36A The Associative Plural,37A Definite Articles,38A Indefinite Articles,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,43A Third Person Pronouns and Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,46A Indefinite Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,49A Number of Cases,50A Asymmetrical Case-Marking,51A Position of Case Affixes,52A Comitatives and Instrumentals,53A Ordinal Numerals,54A Distributive Numerals,55A Numeral Classifiers,56A Conjunctions and Universal Quantifiers,57A Position of Pronominal Possessive Affixes,58A Obligatory Possessive Inflection,59A Possessive Classification,60A Genitives_ Adjectives and Relative Clauses,61A Adjectives without Nouns,62A Action Nominal Constructions,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,71A The Prohibitive,72A Imperative-Hortative Systems,73A The Optative,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,78A Coding of Evidentiality,79A Suppletion According to Tense and Aspect,80A Verbal Number and Suppletion,81A Order of Subject_ Object and Verb,82A Order of Subject and Verb,83A Order of Object and Verb,84A Order of Object_ Oblique_ and Verb,85A Order of Adposition and Noun Phrase,86A Order of Genitive and Noun,87A Order of Adjective and Noun,88A Order of Demonstrative and Noun,89A Order of Numeral and Noun,90A Order of Relative Clause and Noun,91A Order of Degree Word and Adjective,92A Position of Polar Question Particles,93A Position of Interrogative Phrases in Content Questions,94A Order of Adverbial Subordinator and Clause,95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,100A Alignment of Verbal Person Marking,101A Expression of Pronominal Subjects,102A Verbal Person Marking,103A Third Person Zero of Verbal Person Marking,104A Order of Person Markers on the Verb,105A Ditransitive Constructions: The Verb 'Give',106A Reciprocal Constructions,107A Passive Constructions,108A Antipassive Constructions,109A Applicative Constructions,110A Periphrastic Causative Constructions,111A Nonperiphrastic Causative Constructions,112A Negative Morphemes,113A Symmetric and Asymmetric Standard Negation,114A Subtypes of Asymmetric Standard Negation,115A Negative Indefinite Pronouns and Predicate Negation,116A Polar Questions,117A Predicative Possession,118A Predicative Adjectives,119A Nominal and Locational Predication,120A Zero Copula for Predicate Nominals,121A Comparative Constructions,122A Relativization on Subjects,123A Relativization on Obliques,124A 'Want' Complement Subjects,125A Purpose Clauses,126A 'When' Clauses,127A Reason Clauses,128A Utterance Complement Clauses,129A Hand and Arm,130A Finger and Hand,131A Numeral Bases,132A Number of Non-Derived Basic Colour Categories,133A Number of Basic Colour Categories,134A Green and Blue,135A Red and Yellow,136A M-T Pronouns,137A N-M Pronouns,138A Tea,139A Irregular Negatives in Sign Languages,140A Question Particles in Sign Languages,141A Writing Systems,142A Para-Linguistic Usages of Clicks,143F Postverbal Negative Morphemes,90B Prenominal relative clauses,144Y The Position of Negative Morphemes in Object-Initial Languages,90C Postnominal relative clauses,144P NegSOV Order,144J SVNegO Order,144N Obligatory Double Negation in SOV languages,144S SOVNeg Order,144X Verb-Initial with Clause-Final Negative,144A Position of Negative Word With Respect to Subject_ Object_ and Verb,90G Double-headed relative clauses,90E Correlative relative clauses,144V Verb-Initial with Preverbal Negative,144I SNegVO Order,144R SONegV Order,143B Obligatory Double Negation,144M Multiple Negative Constructions in SOV Languages,144U Double negation in verb-initial languages,144G Optional Double Negation in SVO languages,144K SVONeg Order,144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,144F Obligatory Double Negation in SVO languages,90D Internally-headed relative clauses,144E Multiple Negative Constructions in SVO Languages,144D The Position of Negative Morphemes in SVO Languages,81B Languages with two Dominant Orders of Subject_ Object_ and Verb,143E Preverbal Negative Morphemes,143C Optional Double Negation,90F Adjoined relative clauses,143A Order of Negative Morpheme and Verb,144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,144O Optional Double Negation in SOV languages,144Q SNegOV Order,144L The Position of Negative Morphemes in SOV Languages,144H NegSVO Order,144C Languages with different word order in negative clauses,144T The Position of Negative Morphemes in Verb-Initial Languages,143G Minor morphological means of signaling negation,143D Optional Triple Negation,39B Inclusive/Exclusive Forms in Pama-Nyungan,137B M in Second Person Singular,136B M in First Person Singular,109B Other Roles of Applied Objects,10B Nasal Vowels in West Africa,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection,108B Productivity of the Antipassive Construction,130B Cultural Categories of Languages with Identity of 'Finger' and 'Hand',58B Number of Possessive Nouns,79B Suppletion in Imperatives and Hortatives
dut,nld,dutc1256,Dutch,52.5,6,Germanic,Indo-European,,,,,,,,,,,,,,1 No fixed stress,4 Right-oriented: One of the last three,3 Coda consonant,1 Trochaic,,,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,6 All nouns_ always obligatory,,4 No associative plural,1 Definite word distinct from demonstrative,1 Indefinite word distinct from 'one',,,,,,3 3rd person singular only,2 Binary politeness distinction,3 Special,1 Identical,2 No person marking,1 No morphological case-marking,3 Additive-quantitatively asymmetrical,9 No case affixes or adpositional clitics,,6 First_ two-th_ three-th,1 No distributive numerals,,2 Formally similar_ without interrogative,4 No possessive affixes,,,,,3 Ergative-Possessive,1 'And' different from 'with',,,,,,2 Tense-aspect suffixes,4 Second person number-neutral,1 Normal imperative + normal negative,4 Neither type of system,,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,5 Modal morpheme,1 Tense,1 None,7 No dominant order,1 SV,3 No dominant order,6 No dominant order,2 Prepositions,2 Noun-Genitive,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,,6 No question particle,,1 Initial subordinator word,5 Other,5 Other,5 Other,,,2 Accusative,1 Obligatory pronouns in subject position,2 Only the A argument,2 No zero realization,1 A and P do not or do not both occur on the verb,,,1 Present,,,,,2 Negative particle,,,2 No predicate negation,4 Interrogative word order,5 'Have',2 Nonverbal encoding,2 Identical,1 Impossible,4 Particle,,,,,,,,2 Different,2 Different,,,,,,,,2 Words derived from Min Nan Chinese te,,,,2 Affective meanings,1 VNeg,,,1 Noun-Relative clause (NRel) dominant,4 No NegSOV,7 No SVNegO,,11 NoSOVNeg,,16 More than one position,,,,8 No SNegVO,1 Word&NoDoubleNeg,,9 SONegV/SVONeg,,,1 NoDoubleNeg,6 End_ not immed postverbal,,,15 SVONeg/SONegV,13 More than one construction,1 SOV or SVO,1 NegV,,,6 Type 1 / Type 2,,,4 No SNegOV,15 More than one construction,4 No NegSVO,,,4 None,,,,,,,,,,,,5 None (= no suppletive imperatives reported in the reference material)
duz,zea,zeeu1238,Dutch (Zeeuws),51.5,3.75,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eng,eng,stan1293,English,52,0,Germanic,Indo-European,3 Average,3 Large (7-14),1 Low,4 In both plosives and fricatives,2 None missing in /p t k b d g/,1 None,1 No glottalized consonants,2 /l/_ no obstruent laterals,2 No initial velar nasal,2 Contrast absent,1 None,3 Complex,1 No tones,1 No fixed stress,4 Right-oriented: One of the last three,4 Long vowel or coda consonant,1 Trochaic,1 All present,5 'Th' sounds,1 Exclusively concatenative,5 No case,2 2-3 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,3 No productive reduplication,2 Core cases only,2 Syncretic,3 Three,2 Sex-based,2 Semantic,2 Plural suffix,6 All nouns_ always obligatory,4 Person-number stem,4 No associative plural,1 Definite word distinct from demonstrative,1 Indefinite word distinct from 'one',3 No inclusive/exclusive,2 'We' the same as 'I',2 Two-way contrast,1 Identical,2 Related for all demonstratives,3 3rd person singular only,1 No politeness distinction,2 Generic-noun-based,1 Identical,2 No person marking,2 2 cases,3 Additive-quantitatively asymmetrical,9 No case affixes or adpositional clitics,1 Identity,7 First_ second_ three-th,1 No distributive numerals,1 Absent,2 Formally similar_ without interrogative,4 No possessive affixes,2 Absent,1 No possessive classification,6 Highly differentiated,6 Marked by following word,6 Mixed,1 'And' different from 'with',1 Identity,2 No grammatical marking,1 Present_ no remoteness distinctions,2 No inflectional future,1 From possessive,2 Tense-aspect suffixes,5 No second-person imperatives,1 Normal imperative + normal negative,4 Neither type of system,2 Inflectional optative absent,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,1 No grammatical evidentials,1 No grammatical evidentials,1 Tense,1 None,2 SVO,1 SV,2 VO,1 VOX,2 Prepositions,3 No dominant order,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,6 No question particle,1 Initial interrogative phrase,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,3 VO and AdjN,1 Neutral,2 Nominative - accusative (standard),2 Accusative,1 Obligatory pronouns in subject position,2 Only the A argument,2 No zero realization,1 A and P do not or do not both occur on the verb,4 Mixed,2 Distinct from reflexive,1 Present,3 No antipassive,8 No applicative construction,1 Sequential but no purposive,2 Morphological but no compound,2 Negative particle,3 Both,3 A/Cat,3 Mixed behaviour,4 Interrogative word order,5 'Have',2 Nonverbal encoding,2 Identical,1 Impossible,4 Particle,1 Relative pronoun,1 Relative pronoun,1 Subject is left implicit,2 Balanced/deranked,2 Balanced/deranked,2 Balanced/deranked,1 Balanced,2 Different,2 Different,1 Decimal,7 6,7 11,1 Green vs. blue,1 Red vs. yellow,1 No M-T pronouns,1 No N-M pronouns,2 Words derived from Min Nan Chinese te,,,,2 Affective meanings,4 None,,,1 Noun-Relative clause (NRel) dominant,,7 No SVNegO,,,,2 SNegVO,,,,1 Word&NoDoubleNeg,,,,,,4 No SVONeg,3 Immed preverbal,,,,2 SNegVO,,1 NegV,,,1 NegV,,,,,4 No NegSVO,,,4 None,,,1 No m in second person singular,2 m in first person singular,5 No applicative construction,,2 Non-zero marking,1 monoexponential TAM,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material)
far,fao,faro1244,Faroese,62,-7,Germanic,Indo-European,,,,,,,,,,,,,,2 Initial,8 Fixed stress (no weight-sensitivity),1 No weight,4 Undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 First_ second_ three-th,,,,,,,,,,,,,,,,,1 Second singular and second plural,1 Normal imperative + normal negative,4 Neither type of system,,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fea,frs,east2288,Frisian (Eastern),53.58333333,7.5,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 First_ two-th_ three-th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fno,frr,nort2626,Frisian (North),54.5,9,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 First_ second_ three-th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fre,fra,stan1290,French,48,2,Romance,Indo-European,3 Average,3 Large (7-14),1 Low,4 In both plosives and fricatives,2 None missing in /p t k b d g/,3 Uvular continuants only,1 No glottalized consonants,2 /l/_ no obstruent laterals,3 No velar nasal,1 Contrast present,2 High and mid,3 Complex,1 No tones,1 No fixed stress,3 Right-edge: Ultimate or penultimate,5 Prominence,4 Undetermined,1 All present,1 None,1 Exclusively concatenative,5 No case,3 4-5 categories per word,4 No marking,2 Dependent marking,5 Inconsistent or other,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,2 Syncretic,2 Two,2 Sex-based,3 Semantic and formal,2 Plural suffix,6 All nouns_ always obligatory,6 Person-number stem + nominal plural affix,4 No associative plural,1 Definite word distinct from demonstrative,2 Indefinite word same as 'one',3 No inclusive/exclusive,3 No inclusive/exclusive,1 No distance contrast,2 Different stem,5 Related by gender markers,3 3rd person singular only,2 Binary politeness distinction,2 Generic-noun-based,2 Differentiated,2 No person marking,1 No morphological case-marking,1 No case-marking,7 Prepositional clitics,1 Identity,7 First_ second_ three-th,1 No distributive numerals,1 Absent,1 Formally different,4 No possessive affixes,2 Absent,1 No possessive classification,6 Highly differentiated,2 Without marking,3 Ergative-Possessive,1 'And' different from 'with',1 Identity,1 Grammatical marking,1 Present_ no remoteness distinctions,1 Inflectional future exists,1 From possessive,2 Tense-aspect suffixes,2 Second singular,1 Normal imperative + normal negative,4 Neither type of system,2 Inflectional optative absent,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,5 Modal morpheme,3 Tense and aspect,1 None,2 SVO,1 SV,2 VO,1 VOX,2 Prepositions,2 Noun-Genitive,2 Noun-Adjective,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,1 Initial,1 Initial interrogative phrase,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,4 VO and NAdj,1 Neutral,2 Nominative - accusative (standard),2 Accusative,1 Obligatory pronouns in subject position,2 Only the A argument,2 No zero realization,1 A and P do not or do not both occur on the verb,1 Indirect-object construction,3 Mixed,1 Present,3 No antipassive,8 No applicative construction,,4 Both,2 Negative particle,1 Symmetric,7 Non-assignable,3 Mixed behaviour,1 Question particle,,2 Nonverbal encoding,2 Identical,1 Impossible,4 Particle,1 Relative pronoun,1 Relative pronoun,1 Subject is left implicit,3 Deranked,2 Balanced/deranked,2 Balanced/deranked,2 Balanced/deranked,2 Different,2 Different,1 Decimal,7 6,7 11,1 Green vs. blue,1 Red vs. yellow,2 M-T pronouns_ paradigmatic,1 No N-M pronouns,2 Words derived from Min Nan Chinese te,,,,,1 VNeg,,,1 Noun-Relative clause (NRel) dominant,,3 Word&OptDoubleNeg,,,,19 OptDoubleNeg,,,,5 Word&OnlyWithAnotherNeg,,,,,3 S(Neg)VNegO,4 No SVONeg,4 Immed postverbal,,,,15 OptNeg,,1 NegV,2 (Neg)VNeg,,15 OptDoubleNeg,,,,,4 No NegSVO,,,4 None,,,1 No m in second person singular,2 m in first person singular,5 No applicative construction,,2 Non-zero marking,2 TAM+agreement,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material)
fri,frs,east2288,Frisian,53,5,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Unique periphrastic associative plural,1 Definite word distinct from demonstrative,1 Indefinite word distinct from 'one',,,,,,,,,,,,,9 No case affixes or adpositional clitics,,,,,,,,,,,,,,,,,,,2 Second singular,1 Normal imperative + normal negative,,,,,,,,,,7 No dominant order,1 SV,3 No dominant order,6 No dominant order,2 Prepositions,3 No dominant order,1 Adjective-Noun,1 Demonstrative-Noun,,1 Noun-Relative clause,,6 No question particle,1 Initial interrogative phrase,,5 Other,5 Other,5 Other,,,,1 Obligatory pronouns in subject position,,,,,,,,,,,,,,,4 Interrogative word order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Noun-Relative clause (NRel) dominant,,,,,,,,,,,,,,,,,,,,,,1 SOV or SVO,,,,,,,,,,,,,,,,,,,,,,,,
frw,fry,west2354,Frisian (Western),53,6,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No morphological case-marking,3 Additive-quantitatively asymmetrical,,,6 First_ two-th_ three-th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gae,gla,scot1245,Gaelic (Scots),57,-4,Celtic,Indo-European,,,,,,,,,,,,,,2 Initial,8 Fixed stress (no weight-sensitivity),1 No weight,4 Undetermined,,,,,,,,,3 Weakly suffixing,3 No productive reduplication,,,2 Two,2 Sex-based,3 Semantic and formal,6 Mixed morphological plural,,,,1 Definite word distinct from demonstrative,4 No indefinite_ but definite article,,,,,,,2 Binary politeness distinction,,,,,,5 Mixed morphological case,,6 First_ two-th_ three-th,,,,,,,,,,1 'And' different from 'with',,,,,,4 Mixed type,,,,,,,,,,,,3 VSO,2 VS,2 VO,1 VOX,2 Prepositions,2 Noun-Genitive,2 Noun-Adjective,2 Noun-Demonstrative,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,6 No question particle,1 Initial interrogative phrase,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,4 VO and NAdj,,,,1 Obligatory pronouns in subject position,,,,,,,3 No antipassive,8 No applicative construction,,,2 Negative particle,,,,2 Interrogative verb morphology,1 Locational,2 Nonverbal encoding,1 Different,1 Impossible,4 Particle,4 Gap,3 Pronoun-retention,,,,,,2 Different,2 Different,,,,,,,,,,,,,4 None,,,1 Noun-Relative clause (NRel) dominant,,,,,4 No clause-final neg,9 NegVSO,,,"1 Separate word_ no double negation	Word&NoDoubleNeg",,,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,6 None,,,,,,1 NegVSO,4 None,,,,,5 No applicative construction,,,,4 no antipassive,,,
gau,bar,bava1246,German (Upper Austrian),47,14,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gba,bar,bava1246,German (Bavarian),49,11.5,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbe,gsw,swis1247,German (Bern),47,7.416666667,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 Marked by preceding word,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gbl,deu,stan1295,German (Berlin),52.5,13.33333333,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gcy,ell,mode1248,Greek (Cypriot),34.75,33,Greek,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Logical meanings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ger,deu,stan1295,German,52,10,Germanic,Indo-European,3 Average,3 Large (7-14),1 Low,4 In both plosives and fricatives,2 None missing in /p t k b d g/,3 Uvular continuants only,1 No glottalized consonants,2 /l/_ no obstruent laterals,2 No initial velar nasal,2 Contrast absent,2 High and mid,3 Complex,1 No tones,1 No fixed stress,4 Right-oriented: One of the last three,3 Coda consonant,1 Trochaic,1 All present,1 None,1 Exclusively concatenative,2 Case + number,2 2-3 categories per word,2 Dependent marking,2 Dependent marking,2 Dependent-marking,2 Strongly suffixing,3 No productive reduplication,3 Core and non-core,2 Syncretic,3 Three,2 Sex-based,3 Semantic and formal,2 Plural suffix,6 All nouns_ always obligatory,4 Person-number stem,3 Unique periphrastic associative plural,1 Definite word distinct from demonstrative,2 Indefinite word same as 'one',3 No inclusive/exclusive,3 No inclusive/exclusive,1 No distance contrast,1 Identical,5 Related by gender markers,3 3rd person singular only,2 Binary politeness distinction,4 Mixed,2 Differentiated,2 No person marking,4 4 cases,6 Syncretism in relevant NP-types,1 Case suffixes,1 Identity,6 First_ two-th_ three-th,5 Marked by preceding word,1 Absent,,4 No possessive affixes,2 Absent,1 No possessive classification,,,3 Ergative-Possessive,,1 Identity,2 No grammatical marking,1 Present_ no remoteness distinctions,2 No inflectional future,1 From possessive,2 Tense-aspect suffixes,2 Second singular,1 Normal imperative + normal negative,4 Neither type of system,2 Inflectional optative absent,2 Verbal constructions,1 Verbal constructions,1 Overlap for both possibility and necessity,2 Indirect only,5 Modal morpheme,1 Tense,1 None,7 No dominant order,1 SV,3 No dominant order,6 No dominant order,2 Prepositions,2 Noun-Genitive,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,6 No question particle,1 Initial interrogative phrase,1 Initial subordinator word,5 Other,5 Other,5 Other,2 Nominative - accusative (standard),2 Nominative - accusative (standard),2 Accusative,1 Obligatory pronouns in subject position,2 Only the A argument,2 No zero realization,1 A and P do not or do not both occur on the verb,1 Indirect-object construction,3 Mixed,1 Present,3 No antipassive,8 No applicative construction,1 Sequential but no purposive,2 Morphological but no compound,2 Negative particle,1 Symmetric,7 Non-assignable,2 No predicate negation,4 Interrogative word order,,,,,,1 Relative pronoun,1 Relative pronoun,1 Subject is left implicit,2 Balanced/deranked,2 Balanced/deranked,1 Balanced,,2 Different,2 Different,1 Decimal,7 6,7 11,1 Green vs. blue,1 Red vs. yellow,2 M-T pronouns_ paradigmatic,1 No N-M pronouns,2 Words derived from Min Nan Chinese te,,,,2 Affective meanings,1 VNeg,,,1 Noun-Relative clause (NRel) dominant,4 No NegSOV,7 No SVNegO,,11 NoSOVNeg,,16 More than one position,,,,8 No SNegVO,1 Word&NoDoubleNeg,,9 SONegV/SVONeg,,,1 NoDoubleNeg,6 End_ not immed postverbal,,,15 SVONeg/SONegV,13 More than one construction,1 SOV or SVO,1 NegV,,,6 Type 1 / Type 2,,,4 No SNegOV,15 More than one construction,4 No NegSVO,,,4 None,,,1 No m in second person singular,2 m in first person singular,5 No applicative construction,,2 Non-zero marking,1 monoexponential TAM,4 no antipassive,,1 None reported,5 None (= no suppletive imperatives reported in the reference material)
gha,deu,stan1295,German (Hannover),52.41666667,9.666666667,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gil,glk,gila1241,Gilaki,37.33333333,50,Iranian,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Plural suffix,,,,2 Demonstrative word used as definite article,2 Indefinite word same as 'one',,,,,,,,,,,,,1 Case suffixes,,,,2 Optional,,,,,2 Genitives and adjectives collapsed,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Adjective-Noun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glc,glg,gali1258,Galician,43,-8,Romance,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 First_ second_ three-th,,,,,,,,,,,,,,,,,1 Second singular and second plural,3 Special imperative + normal negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gma,deu,stan1295,German (Mansfeldisch),51.58333333,11.5,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 No distributive numerals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goj,gju,guja1253,Gojri,32.75,76.25,Indic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Second singular and second plural,2 Normal imperative + special negative,,,1 Affixes on verbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
